slot,root_id,super_class,class,sub_class,cell_type,hemibrain_type,consolidated_type,side,nerve,nt,sign
36,720575940610757859,central,,,,AVLP194,AVLP194_a,right,,ACH,1
37,720575940610978929,central,,,CB2850,,CB4130,right,,GLUT,-1
38,720575940611102578,central,Kenyon_Cell,,KCab,KCab-s,KCab,left,,ACH,1
39,720575940611124246,central,,,,"PLP041,PLP043",PLP041,right,,GLUT,-1
40,720575940611232370,central,CX,columnar,,FR2,FR2,right,,ACH,1
41,720575940611308259,central,CX,columnar,,"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",vDeltaD,left,,ACH,1
42,720575940611403226,central,,,,WEDPN2B,WEDPN2B,right,,GABA,-1
43,720575940611514261,central,,,,,LHAV4c1,left,,GABA,-1
44,720575940611520947,central,,,CB0973,,CB0973,left,,GLUT,-1
45,720575940611521778,central,,,,AVLP121,AVLP121,right,,ACH,1
46,720575940611557785,central,ALPN,multiglomerular,,M_lvPNm44,M_lvPNm44,left,,ACH,1
47,720575940611839155,central,,,CB1012,,CB1012,left,,GLUT,-1
48,720575940611888337,central,,,CB2433,,CB2433,left,,ACH,1
49,720575940611998578,central,,,CB3123,LHAV4e7,CB3123,left,,GLUT,-1
50,720575940612015217,central,,,CB0656,hb-386829647,CB0656,left,,ACH,1
51,720575940612105139,central,,,,SIP076,SIP076,left,,ACH,1
52,720575940612127706,central,,,CB1240,,CB1240,right,,ACH,1
53,720575940612331250,central,,,CB1126,,CB1126,left,,GLUT,-1
54,720575940612478383,central,,,CB2198,,CB2198,left,,GLUT,-1
55,720575940612551594,central,ALPN,multiglomerular,,M_l2PNm14,M_l2PNm14,left,,ACH,1
56,720575940612557479,central,,,,WED145,WED145,left,,ACH,1
57,720575940612869746,central,,,,SLP364,SLP364,left,,GLUT,-1
58,720575940612899990,central,,,"PS023b,PS024b","PS023,PS024",PS023b,right,,ACH,1
59,720575940612910486,central,Kenyon_Cell,,KCab,KCab-m,KCab,left,,ACH,1
60,720575940612940269,central,,,,PVLP008,PVLP008,right,,GLUT,-1
61,720575940612957802,central,,,CB1794,,CB1794,right,,GLUT,-1
62,720575940612980990,central,Kenyon_Cell,,,KCg-d,KCg-d,left,,ACH,1
63,720575940613229718,central,,,CB1918,,CB1918,left,,GABA,-1
64,720575940613327358,central,CX,columnar,,"FS4A,FS4B,FS4C",FS4A,right,,ACH,1
65,720575940613359266,central,Kenyon_Cell,,KCapbp-m,KCab-m,KCapbp-m,left,,ACH,1
66,720575940613386050,central,Kenyon_Cell,,KCab,KCab-s,KCab,right,,ACH,1
67,720575940613444202,central,,,CB1641,,CB1641,left,,GLUT,-1
68,720575940613458669,central,,,,"CL121,CL122",CB3978,right,,GABA,-1
69,720575940613579943,central,ALPN,uniglomerular,,DC4_adPN,DC4_adPN,left,,ACH,1
70,720575940613711614,central,CX,tangential,CB.FB8D2,FB8E,FB8E,right,,GLUT,-1
71,720575940613786786,central,,,,SMP246,SMP246,right,,ACH,1
72,720575940613843522,central,,,,PVLP007,PVLP007,right,,GLUT,-1
73,720575940613863731,central,,,,"LAL191,LAL192",LAL192,right,,ACH,1
74,720575940613884926,central,,,CB1977,,CB1977,left,,ACH,1
75,720575940613950530,central,,,CB3150,,CB3150,left,,ACH,1
76,720575940613994134,central,,,,,CB3909,left,,ACH,1
77,720575940614331619,central,,,,SLP101,SLP101,right,,GLUT,-1
78,720575940614349974,central,,,CB0186,,CB0186,left,,ACH,1
79,720575940614423038,central,,,CB1524,,CB1524,left,,ACH,1
80,720575940614495093,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
81,720575940614681128,central,,,,PS198,PS197,right,,ACH,1
82,720575940614713356,central,,,,"PLP185,PLP186",PLP185,right,,GLUT,-1
83,720575940614753653,central,,,CB1297,,CB1297,left,,ACH,1
84,720575940614781546,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
85,720575940614785130,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
86,720575940614870066,central,,,,LAL188,LAL188,left,,ACH,1
87,720575940615011782,central,,,CB0955,,CB0955,right,,ACH,1
88,720575940615166570,central,,,,AVLP409,AVLP409,left,,ACH,1
89,720575940615180255,central,,,CB1306,,CB1306,right,,ACH,1
90,720575940615226086,central,,,CB3631,,CB3631,left,,ACH,1
91,720575940615245107,central,,,CB2071,,CB2071,left,,ACH,1
92,720575940615263371,central,,,CB3180,,CB3180,left,,GLUT,-1
93,720575940615577542,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
94,720575940615631266,central,,,,LAL101,LAL101,right,,GABA,-1
